Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
163,antonphilipszaal,,4,1,5,4,1,5,5,0.310759,0.327255,0,0.006726,0.006726,68,0.000237,0,1,10,0.044798
164,anxiety,,3,2,5,3,2,5,5,0.282632,0.293635,0,0.000845,0.000845,64,0.000177,0,1,10,0.014723
165,anxietyattack,,4,1,5,4,1,5,5,0.282632,0.293635,0,0.000845,0.000845,64,0.000252,0,1,10,0.016042
166,apparel,,3,2,5,3,2,5,5,0.310999,0.321146,0,0.005525,0.005525,26,0.000162,0,1,10,0.033382
167,aquarius,,8,3,11,8,3,11,5,0.285567,0.294817,0,0.001977,0.001977,52,0.000228,0,1,55,0.016227
168,AR,,4,3,7,4,3,7,5,0.311677,0.332498,0,0.008939,0.008939,21,0.000155,0,1,21,0.00273
169,ArabSpring,,5,7,12,5,7,12,5,0.299331,0.309752,0,0.002803,0.002803,59,0.00014,0,0.969697,64,0.005717
170,Arcadia,,0,2,2,0,3,3,5,0.309672,0.315601,0,0.001697,0.001697,20,0.000085,0,1,1,0
171,ArcadiaStage,,7,0,7,7,0,7,5,0.310715,0.322599,0,0.003457,0.003457,20,0.000633,0,1,21,0.034828
172,ArcaneRoots,,0,7,7,0,7,7,5,0.328049,0.338309,0,0.008992,0.008992,29,0.000085,0,1,21,0
173,Arctic,,5,5,10,5,5,10,4,0.368662,0.384542,0.000265,0.016003,0.016003,20,0.000349,0,0.444444,16,0.07943
174,ArcticM,,1,0,1,1,0,1,5,0.272526,0.279201,0,0.000675,0.000675,5,0.000119,0,0,0,0.007518
175,ArcticMonkeys,,42,96,138,46,108,154,4,0.413368,0.440361,0.021253,0.062981,0.062981,5,0.002326,0,0.034621,277,0.179812
176,ArcticMonkeysGLASTONBURY,,1,0,1,1,0,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000113,0,0,0,0.048919
177,ArcticMonkeysTickets,,1,2,3,1,2,3,5,0.295792,0.303346,0,0.001224,0.001224,3,0.000157,0,1,3,0.010164
178,arctics,,0,1,1,0,1,1,4,0.352407,0.363765,0,0.00745,0.00745,20,0.000085,0,0,0,0
179,ardenalfrescodining,,5,0,5,5,0,5,4,0.358891,0.372139,0,0.011357,0.011357,67,0.000255,0,1,10,0.088118
180,arenanfalun,,3,3,6,3,3,6,5,0.31078,0.327368,0,0.006711,0.006711,68,0.000157,0,1,15,0.042375
181,AREYOUGETTINGENOUGH,,2,0,2,2,0,2,5,0.283974,0.290805,0,0.000578,0.000578,21,0.000206,0,1,1,0.003579
182,argh,,1,1,2,1,1,2,5,0.310606,0.322034,0,0.003027,0.003027,20,0.000121,0,1,1,0.000584
183,Arjun,,0,8,8,0,8,8,5,0.309002,0.319889,0,0.006684,0.006684,35,0.000085,0,1,28,0
184,ArjunRampal,,1,7,8,1,7,8,5,0.309002,0.319889,0,0.006684,0.006684,35,0.000094,0,1,28,0.000584
