Source,Target,Type,Weight
559,1201,undirected,2
4083,1589,undirected,30
4083,1693,undirected,4
4083,1201,undirected,2
1589,1693,undirected,7
1589,1201,undirected,2
1693,1201,undirected,2
1312,809,undirected,54
1312,4395,undirected,24
1312,550,undirected,24
1312,3429,undirected,24
1312,2125,undirected,24
1312,1554,undirected,26
1312,3376,undirected,24
1312,1374,undirected,24
1312,4395,undirected,28
809,4395,undirected,24
809,550,undirected,24
809,3429,undirected,24
809,2125,undirected,24
809,1554,undirected,24
809,3376,undirected,24
809,1374,undirected,24
809,4395,undirected,24
4395,550,undirected,24
4395,3429,undirected,24
4395,2125,undirected,24
4395,1554,undirected,24
4395,3376,undirected,24
4395,1374,undirected,24
4395,4395,undirected,24
550,3429,undirected,24
550,2125,undirected,24
550,1554,undirected,24
550,3376,undirected,24
550,1374,undirected,24
550,4395,undirected,24
3429,2125,undirected,24
3429,1554,undirected,50
3429,3376,undirected,24
3429,1374,undirected,24
3429,4395,undirected,24
2125,1554,undirected,24
2125,3376,undirected,24
2125,1374,undirected,24
2125,4395,undirected,24
1554,3376,undirected,24
1554,1374,undirected,24
1554,4395,undirected,26
3376,1374,undirected,24
3376,4395,undirected,24
1374,4395,undirected,24
790,3124,undirected,2
790,1312,undirected,1
790,3125,undirected,1
790,791,undirected,1
3124,1312,undirected,2
3124,3125,undirected,2
3124,791,undirected,2
1312,3125,undirected,1
1312,791,undirected,1
3125,791,undirected,1
3145,1663,undirected,3
3145,1262,undirected,2
1663,1262,undirected,2
2572,1663,undirected,5
1570,1242,undirected,1
1570,4387,undirected,36
1570,4510,undirected,1
1242,4387,undirected,1
1242,4510,undirected,1
4387,4510,undirected,1
1422,2678,undirected,2
1422,4016,undirected,2
1422,2537,undirected,2
1422,2166,undirected,2
1422,2204,undirected,2
1422,1329,undirected,2
1422,1312,undirected,2
2678,4016,undirected,2
2678,2537,undirected,2
2678,2166,undirected,2
2678,2204,undirected,2
2678,1329,undirected,2
2678,1312,undirected,2
4016,2537,undirected,2
4016,2166,undirected,2
4016,2204,undirected,2
4016,1329,undirected,2
4016,1312,undirected,2
2537,2166,undirected,2
2537,2204,undirected,2
2537,1329,undirected,2
2537,1312,undirected,2
2166,2204,undirected,2
2166,1329,undirected,2
2166,1312,undirected,2
2204,1329,undirected,2
2204,1312,undirected,2
1329,1312,undirected,9
4107,1663,undirected,1
1589,3757,undirected,111
2389,1832,undirected,3
2389,1663,undirected,6
2389,768,undirected,3
2389,1491,undirected,3
1832,1663,undirected,3
1832,768,undirected,3
1832,1491,undirected,3
1663,768,undirected,3
1663,1491,undirected,3
768,1491,undirected,3
1570,1318,undirected,5
1570,3768,undirected,1
1589,1318,undirected,13
1589,3768,undirected,2
1312,1318,undirected,1
1312,3768,undirected,1
1318,3768,undirected,1
3029,2798,undirected,2
3358,1589,undirected,2780
546,3216,undirected,1
3261,4496,undirected,1
240,241,undirected,1
240,1312,undirected,1
240,3913,undirected,1
240,941,undirected,1
240,2844,undirected,1
240,1029,undirected,1
241,1312,undirected,2
241,3913,undirected,1
241,941,undirected,1
241,2844,undirected,1
241,1029,undirected,1
1312,3913,undirected,10
1312,941,undirected,1
1312,2844,undirected,1
1312,1029,undirected,11
3913,941,undirected,1
3913,2844,undirected,1
3913,1029,undirected,7
941,2844,undirected,1
941,1029,undirected,1
2844,1029,undirected,1
3974,606,undirected,1
3974,1663,undirected,1
606,1663,undirected,1
1645,1663,undirected,2
2344,1237,undirected,34
2344,3883,undirected,5
2344,1589,undirected,11
1237,3883,undirected,8
3883,1589,undirected,15
1663,2067,undirected,1
1676,1589,undirected,1
1112,1522,undirected,1
1112,1111,undirected,1
1522,1111,undirected,1
3577,1589,undirected,46
3577,4083,undirected,1
1589,4083,undirected,4
1570,3216,undirected,3
1570,333,undirected,63
717,1570,undirected,17
1589,2623,undirected,3
1589,2775,undirected,1
175,1589,undirected,82
470,3730,undirected,1
470,1589,undirected,1
3730,1589,undirected,1
1589,3401,undirected,11
2939,1663,undirected,2
3216,1982,undirected,2
175,2511,undirected,5
1589,2511,undirected,8
1570,1261,undirected,3
1570,546,undirected,1
1261,546,undirected,1
788,1406,undirected,1
788,2830,undirected,1
1406,2830,undirected,1
2709,4376,undirected,4
2799,1589,undirected,4
3068,3275,undirected,1
3068,914,undirected,1
3068,1469,undirected,1
3275,914,undirected,1
3275,1469,undirected,1
914,1469,undirected,3
1570,3358,undirected,200
1069,4206,undirected,1
1069,1663,undirected,2
1069,936,undirected,1
4206,1663,undirected,1
4206,936,undirected,1
1663,936,undirected,6
1893,1589,undirected,1
1589,3937,undirected,1
4377,1663,undirected,1
4377,1664,undirected,1
1663,1664,undirected,1
1656,1663,undirected,5
2709,1312,undirected,19
2709,4117,undirected,1
2709,4097,undirected,1
2709,3755,undirected,1
1312,4117,undirected,1
1312,4097,undirected,1
1312,3755,undirected,1
4117,4097,undirected,7
4117,3755,undirected,1
4097,3755,undirected,1
943,2049,undirected,1
943,3216,undirected,1
2049,3216,undirected,1
2369,4273,undirected,1
2369,1663,undirected,1
4273,1663,undirected,2
1589,542,undirected,1
175,542,undirected,1
324,3569,undirected,1
324,2138,undirected,1
324,1844,undirected,1
324,3354,undirected,3
1589,3569,undirected,1
1589,2138,undirected,1
1589,1844,undirected,1
1589,3354,undirected,6
3569,2138,undirected,1
3569,1844,undirected,1
3569,3354,undirected,1
2138,1844,undirected,1
2138,3354,undirected,1
1844,3354,undirected,1
1663,2272,undirected,1
1663,3544,undirected,2
3309,3369,undirected,3
3309,1312,undirected,5
3309,3371,undirected,3
3309,2709,undirected,2
3309,2715,undirected,2
3369,1312,undirected,3
3369,3371,undirected,2
3369,2709,undirected,2
3369,2715,undirected,2
1312,3371,undirected,4
1312,2715,undirected,2
3371,2709,undirected,2
3371,2715,undirected,2
2709,2715,undirected,2
2825,1589,undirected,1
2825,717,undirected,1
2825,832,undirected,1
1589,832,undirected,1
717,832,undirected,1
3390,1589,undirected,1
943,2048,undirected,1
3358,1589,undirected,635
1782,1570,undirected,1
1589,1312,undirected,52
1589,4161,undirected,18
1312,4161,undirected,5
2325,3195,undirected,36
2325,1916,undirected,36
3195,1916,undirected,36
1589,3949,undirected,2
1589,735,undirected,1
3949,735,undirected,1
3568,1324,undirected,1
925,717,undirected,5
925,1570,undirected,5
1727,1663,undirected,1
1571,175,undirected,1
1571,2136,undirected,1
175,2136,undirected,1
3112,1570,undirected,10
4462,1457,undirected,1
3112,1589,undirected,67
3112,2052,undirected,1
1589,2052,undirected,1
1633,1589,undirected,3
1570,1448,undirected,1
1570,173,undirected,1
1448,173,undirected,1
1570,574,undirected,1
1663,2739,undirected,1
1589,360,undirected,3
1312,3086,undirected,1
1663,1852,undirected,1
1589,3084,undirected,1
1570,2914,undirected,1
3577,4080,undirected,1
1589,4080,undirected,1
175,1589,undirected,17
175,3500,undirected,1
1589,3500,undirected,1
