Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles,eigencentrality
902,cull,3,9,4,0.352464,0.363991,0,0.007851,0.007851,1,0.00021,0,1,3,0.025067
4469,x27,3,3,5,0.30057,0.311228,0,0.003929,0.003929,1,0.000211,0,1,3,0.010362
3103,pool,3,6,5,0.30057,0.311228,0,0.003929,0.003929,1,0.000213,0,1,3,0.010362
4210,Vergne,3,3,5,0.290494,0.300312,0,0.002137,0.002137,1,0.000212,0,1,3,0.008056
4078,ToroRosso,3,3,5,0.290494,0.300312,0,0.002137,0.002137,1,0.000212,0,1,3,0.008056
684,catchup,3,3,5,0.319457,0.331481,0,0.004793,0.004793,1,0.000209,0,1,3,0.015683
1925,ifihadmoretime,3,3,5,0.310323,0.320058,0,0.003573,0.003573,1,0.000213,0,1,3,0.009834
1056,dontbeleiveinmagic,3,3,5,0.310323,0.320058,0,0.003573,0.003573,1,0.000213,0,1,3,0.009834
4392,WimbleNAPs,3,3,5,0.308981,0.324439,0,0.002964,0.002964,1,0.000216,0,1,3,0.014264
2875,NotTennis,3,3,5,0.308981,0.324439,0,0.002964,0.002964,1,0.000216,0,1,3,0.014264
2110,JoinIn,3,3,5,0.308981,0.324439,0,0.002964,0.002964,1,0.000216,0,1,3,0.014264
390,Believe,3,4,5,0.336346,0.351927,3147.434081,0.006871,0.006871,1,0.000209,0,0.333333,1,0.024107
3310,Rhythm,3,3,5,0.299939,0.31177,0,0.003783,0.003783,1,0.000213,0,1,3,0.010543
1490,Gaming,3,3,5,0.299939,0.31177,0,0.003783,0.003783,1,0.000213,0,1,3,0.010543
523,boycott,3,3,4,0.352464,0.363991,0,0.007851,0.007851,1,0.00021,0,1,3,0.025067
2464,LS,3,8,6,0.260394,0.26763,0,0.000623,0.000623,1,0.000214,0,1,3,0.002552
3163,Prom13,3,3,6,0.260394,0.26763,0,0.000623,0.000623,1,0.000212,0,1,3,0.002552
3726,Stamford,3,3,5,0.311349,0.327631,0,0.006414,0.006414,1,0.000213,0,1,3,0.018448
739,church,3,3,5,0.311349,0.327631,0,0.006414,0.006414,1,0.000213,0,1,3,0.018448
885,croatia,3,9,5,0.320174,0.334959,0,0.00657,0.00657,1,0.000214,0,1,3,0.018715
1828,hideout,3,9,5,0.320174,0.334959,0,0.00657,0.00657,1,0.000214,0,1,3,0.018715
4155,u20wc,3,3,5,0.309067,0.32459,0,0.003281,0.003281,1,0.000213,0,1,3,0.015163
720,chickenpox,3,3,5,0.309067,0.32459,0,0.003281,0.003281,1,0.000213,0,1,3,0.015163
371,beauvais,3,6,5,0.318103,0.33272,0,0.003457,0.003457,11,0.000212,0,1,3,0.015596
3154,priorities,3,6,5,0.318103,0.33272,0,0.003457,0.003457,11,0.000212,0,1,3,0.015596
1950,imboutstoblasttheAC,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
4248,waitelectricitybillfinnabeoffthechain,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
3780,stud,3,3,5,0.282596,0.293409,0,0.000802,0.000802,1,0.000216,0,1,3,0.005669
3517,sharapova,3,3,5,0.293323,0.305093,0,0.002172,0.002172,1,0.000211,0,1,3,0.008598
4217,victory,3,3,5,0.309218,0.324703,0,0.003207,0.003207,1,0.000212,0,1,3,0.014884
1276,fashionshow,3,3,5,0.309456,0.319493,0,0.003967,0.003967,1,0.00021,0,1,3,0.010613
79,AgaRadwanska,3,5,5,0.297541,0.309188,0,0.00233,0.00233,1,0.000214,0,1,3,0.008961
4466,WTAMiami,3,3,5,0.297541,0.309188,0,0.00233,0.00233,1,0.000212,0,1,3,0.008961
2053,itsveryearlyandiwanttosleep,3,3,5,0.290494,0.300312,0,0.002281,0.002281,1,0.000209,0,1,3,0.008588
